firstname,lastname,url,party,twitter
Jeremy,Corbyn,uk.org.publicwhip/member/1655,Lab
Jessica,Morden,uk.org.publicwhip/member/1732,Lab
Jim,Cousins,uk.org.publicwhip/member/1729,Lab
Jim,Cunningham,uk.org.publicwhip/member/1518,Lab
Jim,Devine,uk.org.publicwhip/member/2020,Lab
Jim,Dobbin,uk.org.publicwhip/member/1636,Lab
Jim,Dowd,uk.org.publicwhip/member/1683,Lab
Jim,Fitzpatrick,uk.org.publicwhip/member/1765,Lab
Jim,Sheridan,uk.org.publicwhip/member/2007,Lab
Jimmy,Hood,uk.org.publicwhip/member/1998,Lab
Joan,Humble,uk.org.publicwhip/member/1424,Lab
Joan,Ruddock,uk.org.publicwhip/member/1681,Lab
Joan,Ryan,uk.org.publicwhip/member/1572,Lab
Joan,Walley,uk.org.publicwhip/member/1842,Lab
Joe,Benton,uk.org.publicwhip/member/1434,Lab
John,Austin,uk.org.publicwhip/member/1577,Lab
John,Battle,uk.org.publicwhip/member/1673,Lab
John,Cummings,uk.org.publicwhip/member/1562,Lab
John,Grogan,uk.org.publicwhip/member/1807,Lab
John,Healey,uk.org.publicwhip/member/1918,Lab
John,Heppell,uk.org.publicwhip/member/1746,Lab
John,Hutton,uk.org.publicwhip/member/1387,Lab
John,Mann,uk.org.publicwhip/member/1390,Lab
John,McDonnell,uk.org.publicwhip/member/1624,Lab
John,McFall,uk.org.publicwhip/member/1972,Lab
John,Reid,uk.org.publicwhip/member/1958,Lab
John,Robertson,uk.org.publicwhip/member/1989,Lab
John,Smith,uk.org.publicwhip/member/1895,Lab
Jon,Cruddas,uk.org.publicwhip/member/1526,Lab
Jon,Trickett,uk.org.publicwhip/member/1627,Lab
Jonathan R,Shaw,uk.org.publicwhip/member/1491,Lab
Judy,Mallaber,uk.org.publicwhip/member/1373,Lab
Julie,Morgan,uk.org.publicwhip/member/1481,Lab
Kali,Mountford,uk.org.publicwhip/member/1508,Lab
Karen,Buck,uk.org.publicwhip/member/1777,Lab
Kate,Hoey,uk.org.publicwhip/member/1897,Lab
Katy,Clark,uk.org.publicwhip/member/1963,Lab
Keith,Hill,uk.org.publicwhip/member/1848,Lab
Keith,Vaz,uk.org.publicwhip/member/1674,Lab
Kelvin,Hopkins,uk.org.publicwhip/member/1697,Lab
Ken,Purchase,uk.org.publicwhip/member/1935,Lab
Kevan,Jones,uk.org.publicwhip/member/1556,Lab
Kevin,Barron,uk.org.publicwhip/member/1789,Lab
Khalid,Mahmood,uk.org.publicwhip/member/1417,Lab
Kim,Howells,uk.org.publicwhip/member/1763,Lab
Kitty,Ussher,uk.org.publicwhip/member/1464,Lab
Laura,Moffatt,uk.org.publicwhip/member/1519,Lab
Lindsay,Hoyle,uk.org.publicwhip/member/1501,Lab
Lindsay,Roy,uk.org.publicwhip/member/2037,Lab
Liz,Blackman,uk.org.publicwhip/member/1576,Lab
Lyn,Brown,uk.org.publicwhip/member/1921,Lab
Lynda,Waltho,uk.org.publicwhip/member/1845,Lab
Lynne,Jones,uk.org.publicwhip/member/1418,Lab
Madeleine,Moon,uk.org.publicwhip/member/1450,Lab
Malcolm,Wicks,uk.org.publicwhip/member/1523,Lab
Margaret,Beckett,uk.org.publicwhip/member/1533,Lab
Margaret,Hodge,uk.org.publicwhip/member/1383,Lab
Maria,Eagle,uk.org.publicwhip/member/1687,Lab
Mark,Fisher,uk.org.publicwhip/member/1841,Lab
Mark,Hendrick,uk.org.publicwhip/member/1769,Lab
Mark,Lazarowicz,uk.org.publicwhip/member/1979,Lab
Mark,Tami,uk.org.publicwhip/member/1372,Lab
Mark,Todd,uk.org.publicwhip/member/1535,Lab
Marsha,Singh,uk.org.publicwhip/member/1442,Lab
Martin,Caton,uk.org.publicwhip/member/1597,Lab
Martin,Linton,uk.org.publicwhip/member/1393,Lab
Martin,Salter,uk.org.publicwhip/member/1774,Lab
Martyn,Jones,uk.org.publicwhip/member/1505,Lab
Mary,Creagh,uk.org.publicwhip/member/1898,Lab
Meg,Hillier,uk.org.publicwhip/member/1605,Lab
Meg,Munn,uk.org.publicwhip/member/1813,Lab
Michael Jabez,Foster,uk.org.publicwhip/member/1622,Lab
Michael,Clapham,uk.org.publicwhip/member/1386,Lab
Michael,Connarty,uk.org.publicwhip/member/1999,Lab
Michael,Wills,uk.org.publicwhip/member/1865,Lab
Mike,Hall,uk.org.publicwhip/member/1914,Lab
Mike,Wood,uk.org.publicwhip/member/1392,Lab
Mohammad,Sarwar,uk.org.publicwhip/member/1985,Lab
Natascha,Engel,uk.org.publicwhip/member/1534,Lab
Neil,Gerrard,uk.org.publicwhip/member/1902,Lab
Neil,Turner,uk.org.publicwhip/member/1925,Lab
Nia,Griffith,uk.org.publicwhip/member/1692,Lab
Nick,Ainger,uk.org.publicwhip/member/1486,Lab
Nick,Brown,uk.org.publicwhip/member/1730,Lab
Nick,Raynsford,uk.org.publicwhip/member/1602,Lab
Nigel,Griffiths,uk.org.publicwhip/member/1980,Lab
Paddy,Tipping,uk.org.publicwhip/member/1815,Lab
Patricia,Hewitt,uk.org.publicwhip/member/1676,Lab
Patrick,Hall,uk.org.publicwhip/member/1396,Lab
Paul,Farrelly,uk.org.publicwhip/member/1728,Lab
Paul,Flynn,uk.org.publicwhip/member/1733,Lab
Paul,Goggins,uk.org.publicwhip/member/1950,Lab
Paul,Murphy,uk.org.publicwhip/member/1880,Lab
Paul,Truswell,uk.org.publicwhip/member/1770,Lab
Peter,Kilfoyle,uk.org.publicwhip/member/1689,Lab
Peter,Soulsby,uk.org.publicwhip/member/1675,Lab
Phil,Hope,uk.org.publicwhip/member/1512,Lab
Phil,Wilson,uk.org.publicwhip/member/2026,Lab
Phil,Woolas,uk.org.publicwhip/member/1752,Lab
Quentin,Davies,uk.org.publicwhip/member/2025,Lab
Richard,Burden,uk.org.publicwhip/member/1416,Lab
Richard,Caborn,uk.org.publicwhip/member/1811,Lab
Rob,Marris,uk.org.publicwhip/member/1937,Lab
Robert,Flello,uk.org.publicwhip/member/1843,Lab
Robert,Marshall-Andrews,uk.org.publicwhip/member/1709,Lab
Roberta,Blackman-Woods,uk.org.publicwhip/member/1558,Lab
Roger,Berry,uk.org.publicwhip/member/1663,Lab
Roger,Godsiff,uk.org.publicwhip/member/1419,Lab
Ronnie,Campbell,uk.org.publicwhip/member/1428,Lab
Rosemary,McKenna,uk.org.publicwhip/member/1968,Lab
Rosie,Cooper,uk.org.publicwhip/member/1667,Lab
Rosie,Winterton,uk.org.publicwhip/member/1544,Lab
Rudi,Vis,uk.org.publicwhip/member/1586,Lab
Ruth,Kelly,uk.org.publicwhip/member/1433,Lab
Sally,Keeble,uk.org.publicwhip/member/1741,Lab
Sandra,Osborne,uk.org.publicwhip/member/1961,Lab
Sharon,Hodgson,uk.org.publicwhip/member/1592,Lab
Shaun,Woodward,uk.org.publicwhip/member/1800,Lab
Shona,McIsaac,uk.org.publicwhip/member/1504,Lab
Siobhain,McDonagh,uk.org.publicwhip/member/1717,Lab
Si̢n,James,uk.org.publicwhip/member/1863,Lab
Stephen,Byers,uk.org.publicwhip/member/1888,Lab
Stephen,Hepburn,uk.org.publicwhip/member/1658,Lab
Stephen,Hesford,uk.org.publicwhip/member/1931,Lab
Stephen,Ladyman,uk.org.publicwhip/member/1874,Lab
Stephen,Pound,uk.org.publicwhip/member/1560,Lab
Stuart,Bell,uk.org.publicwhip/member/1713,Lab
Terry,Rooney,uk.org.publicwhip/member/1440,Lab
Thomas,McAvoy,uk.org.publicwhip/member/2012,Lab
Tom,Clarke,uk.org.publicwhip/member/1967,Lab
Tony,Cunningham,uk.org.publicwhip/member/1942,Lab
Tony,Lloyd,uk.org.publicwhip/member/1705,Lab
Tony,McNulty,uk.org.publicwhip/member/1618,Lab
Tony,Wright,uk.org.publicwhip/member/1478,Lab
Vernon,Coaker,uk.org.publicwhip/member/1593,Lab
Wayne,David,uk.org.publicwhip/member/1470,Lab
Yvette,Cooper,uk.org.publicwhip/member/1762,Lab
Adrian,Sanders,uk.org.publicwhip/member/1879,LDem
Alan,Beith,uk.org.publicwhip/member/1404,LDem
Alan,Reid,uk.org.publicwhip/member/1960,LDem
Andrew,Stunell,uk.org.publicwhip/member/1625,LDem
Annette,Brooke,uk.org.publicwhip/member/1546,LDem
Bob,Russell,uk.org.publicwhip/member/1507,LDem
Charles,Kennedy,uk.org.publicwhip/member/2011,LDem
Colin,Breed,uk.org.publicwhip/member/1514,LDem
Daniel,Rogerson,uk.org.publicwhip/member/1513,LDem
David,Heath,uk.org.publicwhip/member/1824,LDem
David,Howarth,uk.org.publicwhip/member/1473,LDem
David,Laws,uk.org.publicwhip/member/1951,LDem
Don,Foster,uk.org.publicwhip/member/1391,LDem
Evan,Harris,uk.org.publicwhip/member/1756,LDem
Jennifer,Willott,uk.org.publicwhip/member/1480,LDem
Jeremy,Browne,uk.org.publicwhip/member/1869,LDem
John,Barrett,uk.org.publicwhip/member/1982,LDem
John,Hemming,uk.org.publicwhip/member/1420,LDem
John,Leech,uk.org.publicwhip/member/1707,LDem
John,Pugh,uk.org.publicwhip/member/1830,LDem
John,Thurso,uk.org.publicwhip/member/1966,LDem
Lorely,Burt,uk.org.publicwhip/member/1823,LDem
Mark,Hunter,uk.org.publicwhip/member/2016,LDem
Mark,Oaten,uk.org.publicwhip/member/1928,LDem
Mark,Williams,uk.org.publicwhip/member/1489,LDem
Martin,Horwood,uk.org.publicwhip/member/1494,LDem
Matthew,Taylor,uk.org.publicwhip/member/1883,LDem
Menzies,Campbell,uk.org.publicwhip/member/1984,LDem
Mike,Hancock,uk.org.publicwhip/member/1767,LDem
Nick,Harvey,uk.org.publicwhip/member/1539,LDem
Norman,Baker,uk.org.publicwhip/member/1680,LDem
Paul,Burstow,uk.org.publicwhip/member/1861,LDem
Paul,Holmes,uk.org.publicwhip/member/1497,LDem
Paul,Keetch,uk.org.publicwhip/member/1630,LDem
Richard,Younger-Ross,uk.org.publicwhip/member/1870,LDem
Robert,Smith,uk.org.publicwhip/member/1957,LDem
Roger,Williams,uk.org.publicwhip/member/1444,LDem
Sarah,Teather,uk.org.publicwhip/member/1445,LDem
Simon,Hughes,uk.org.publicwhip/member/1831,LDem
Stephen,Williams,uk.org.publicwhip/member/1458,LDem
Elfyn,Llwyd,uk.org.publicwhip/member/1710,PC
Alasdair,McDonnell,uk.org.publicwhip/member/1402,SDLP
Eddie,McGrady,uk.org.publicwhip/member/1552,SDLP
Conor,Murphy,uk.org.publicwhip/member/1734,SF
Gerry,Adams,uk.org.publicwhip/member/1403,SF
Martin,McGuinness,uk.org.publicwhip/member/1890,SF
Michelle,Gildernew,uk.org.publicwhip/member/1585,SF
Pat,Doherty,uk.org.publicwhip/member/1889,SF
Alex,Salmond,uk.org.publicwhip/member/1964,SNP
Angus,MacNeil,uk.org.publicwhip/member/2004,SNP
John,Mason,uk.org.publicwhip/member/2035,SNP
Stewart,Hosie,uk.org.publicwhip/member/1973,SNP
John,Bercow,uk.org.publicwhip/member/40031,SPK
Lady,Hermon,uk.org.publicwhip/member/1551,UUP
