firstname,lastname,url,party,twitter
Patrick,McFadden,uk.org.publicwhip/member/1936,Lab,patmcfaddenmp
Paul,Clark,uk.org.publicwhip/member/1594,Lab,paulclarkmp
Paul,Rowen,uk.org.publicwhip/member/1784,LDem,PaulRowen
Peter,Hain,uk.org.publicwhip/member/1723,Lab,peterhain
Peter,Lilley,uk.org.publicwhip/member/1638,Con,PeterLilleyMP
Pete,Wishart,uk.org.publicwhip/member/2009,SNP,Petewishart
Phil,Willis,uk.org.publicwhip/member/1617,LDem,philwillismp
Phyllis,Starkey,uk.org.publicwhip/member/1716,Lab,PhyllisStarkey
Robert,Wilson,uk.org.publicwhip/member/1773,Con,robwilsonmp
Russell,Brown,uk.org.publicwhip/member/1969,Lab,russellbrownmp
Sadiq,Khan,uk.org.publicwhip/member/1878,Lab,SadiqKhan
Sandra,Gidley,uk.org.publicwhip/member/1787,LDem,SandraGidley
Sion,Simon,uk.org.publicwhip/member/1412,Lab,sionsimon
Sarah,McCarthy-Fry,uk.org.publicwhip/member/1766,Lab,smccarthyfry
John,Spellar,uk.org.publicwhip/member/1906,Lab,spellar
Stephen,Timms,uk.org.publicwhip/member/1563,Lab,stephenctimms
Stephen,McCabe,uk.org.publicwhip/member/1413,Lab,stevemccabemp
Steve,Webb,uk.org.publicwhip/member/1743,LDem,stevewebb1
Susan,Kramer,uk.org.publicwhip/member/1783,LDem,SusanKramer
Tom,Brake,uk.org.publicwhip/member/1487,LDem,thomasbrake
Tim,Farron,uk.org.publicwhip/member/1923,LDem,timfarron
Tom,Watson,uk.org.publicwhip/member/1919,Lab,tom_watson
Tom,Harris,uk.org.publicwhip/member/1990,Lab,TomHarrisMP
Tom,Levitt,uk.org.publicwhip/member/1637,Lab,tomlevittmp
Anthony D,Wright,uk.org.publicwhip/member/1601,Lab,tonywrightmp
Vera,Baird,uk.org.publicwhip/member/1775,Lab,VeraBaird
Vincent,Cable,uk.org.publicwhip/member/1885,LDem,vincecable
Virendra,Sharma,uk.org.publicwhip/member/2027,Lab,VirendraSharma
Ann,Widdecombe,uk.org.publicwhip/member/1701,Con,widdecombepp
Willie,Rennie,uk.org.publicwhip/member/2021,LDem,willierenniemp
Derek,Wyatt,uk.org.publicwhip/member/1819,Lab,wyattd
Adam,Holloway,uk.org.publicwhip/member/1599,Con
Alistair,Burt,uk.org.publicwhip/member/1398,Con
Andrew,Lansley,uk.org.publicwhip/member/1476,Con
Andrew,MacKay,uk.org.publicwhip/member/1439,Con
Andrew,Mitchell,uk.org.publicwhip/member/1862,Con
Andrew,Murrison,uk.org.publicwhip/member/1922,Con
Andrew,Robathan,uk.org.publicwhip/member/1422,Con
Andrew,Selous,uk.org.publicwhip/member/1399,Con
Andrew,Turner,uk.org.publicwhip/member/1654,Con
Andrew,Tyrie,uk.org.publicwhip/member/1498,Con
Angela,Browning,uk.org.publicwhip/member/1876,Con
Angela,Watkinson,uk.org.publicwhip/member/1891,Con
Ann,Winterton,uk.org.publicwhip/member/1509,Con
Anne,Main,uk.org.publicwhip/member/1798,Con
Anne,McIntosh,uk.org.publicwhip/member/1896,Con
Anne,Milton,uk.org.publicwhip/member/1603,Con
Anthony,Steen,uk.org.publicwhip/member/1881,Con
Ben,Wallace,uk.org.publicwhip/member/1668,Con
Bernard,Jenkin,uk.org.publicwhip/member/1579,Con
Bill,Wiggin,uk.org.publicwhip/member/1679,Con
Bob,Neill,uk.org.publicwhip/member/2023,Con
Brian,Binley,uk.org.publicwhip/member/1742,Con
Brooks,Newmark,uk.org.publicwhip/member/1443,Con
Caroline,Spelman,uk.org.publicwhip/member/1711,Con
Charles,Hendry,uk.org.publicwhip/member/1913,Con
Charles,Walker,uk.org.publicwhip/member/1461,Con
Cheryl,Gillan,uk.org.publicwhip/member/1495,Con
Chloe,Smith,uk.org.publicwhip/member/40032,Con
Chris,Grayling,uk.org.publicwhip/member/1575,Con
Christopher,Chope,uk.org.publicwhip/member/1502,Con
Christopher,Fraser,uk.org.publicwhip/member/1739,Con
Damian,Green,uk.org.publicwhip/member/1379,Con
Daniel,Kawczynski,uk.org.publicwhip/member/1817,Con
David,Amess,uk.org.publicwhip/member/1829,Con
David,Burrowes,uk.org.publicwhip/member/1573,Con
David,Cameron,uk.org.publicwhip/member/1932,Con
David,Curry,uk.org.publicwhip/member/1820,Con
David,Davies,uk.org.publicwhip/member/1719,Con
David,Davis,uk.org.publicwhip/member/2034,Con
David,Gauke,uk.org.publicwhip/member/1633,Con
David,Heathcoat-Amory,uk.org.publicwhip/member/1916,Con
David,Lidington,uk.org.publicwhip/member/1381,Con
David,Maclean,uk.org.publicwhip/member/1758,Con
David,Ruffley,uk.org.publicwhip/member/1468,Con
David,Tredinnick,uk.org.publicwhip/member/1436,Con
David,Willetts,uk.org.publicwhip/member/1623,Con
David,Wilshire,uk.org.publicwhip/member/1832,Con
